timestamp_hour,prev_pip,previous 9 number,prev 8 pip change,prev9 prices,pips_output
6,-2,"[3, 3, 3, 7, 5, 7, 5, 7, 5]","[0, 0, -1, 0, 0, 0, 0, 0]","[1.1873, 1.18735, 1.1873, 1.18725, 1.1872, 1.18725, 1.1872, 1.18725, 1.1872]",2
7,-1,"[5, 7, 5, 7, 5, 5, 5, 7, 5]","[-1, 1, -1, 1, 0, 0, -1, 1]","[1.1862, 1.18615, 1.1862, 1.18615, 1.1862, 1.18625, 1.1862, 1.18615, 1.1862]",-1
7,-1,"[7, 2, 7, 2, 7, 7, 5, 7, 5]","[-1, 1, -1, 1, 0, 1, -1, 1]","[1.1861, 1.18605, 1.1861, 1.18605, 1.1861, 1.18615, 1.1862, 1.18615, 1.1862]",1
12,-1,"[5, 3, 5, 3, 5, 5, 5, 7, 5]","[1, -1, 1, -1, -1, 1, -1, 0]","[1.19055, 1.1906, 1.19055, 1.1906, 1.19055, 1.1905, 1.19055, 1.19045, 1.1905]",-1
12,1,"[7, 7, 5, 7, 5, 7, 5, 7, 5]","[0, 1, -1, 1, -1, 1, -1, 1]","[1.1926, 1.19265, 1.1927, 1.19265, 1.1927, 1.19265, 1.1927, 1.19265, 1.1927]",0
13,2,"[4, 9, 9, 9, 9, 7, 5, 7, 5]","[1, 0, 0, 0, 1, 0, 0, 0]","[1.19135, 1.1914, 1.19145, 1.1914, 1.19145, 1.1915, 1.19155, 1.1915, 1.19155]",-1
16,-1,"[4, 3, 4, 8, 4, 3, 5, 7, 5]","[-1, 1, 0, 0, -1, 0, -1, 1]","[1.188, 1.18795, 1.188, 1.18805, 1.188, 1.18795, 1.1879, 1.18785, 1.1879]",1
16,-1,"[9, 7, 9, 7, 5, 3, 5, 7, 5]","[0, 0, 0, 1, 0, 0, -1, 1]","[1.1878, 1.18785, 1.1878, 1.18785, 1.1879, 1.18795, 1.1879, 1.18785, 1.1879]",1
12,18,"[5, 2, 7, 2, 9, 7, 5, 7, 5]","[-1, 1, -1, 0, 1, 0, 0, 0]","[1.1931, 1.19305, 1.19315, 1.19305, 1.193, 1.19315, 1.1931, 1.19315, 1.1931]",8
12,18,"[6, 1, 7, 5, 7, 1, 5, 7, 5]","[-1, -1, 0, 0, 1, -1, 0, 0]","[1.1933, 1.1932, 1.19315, 1.1931, 1.19315, 1.1932, 1.1931, 1.19315, 1.1931]",4
12,-7,"[8, 3, 8, 3, 3, 7, 5, 7, 5]","[-1, 1, -1, 0, -1, 0, -1, 1]","[1.1929, 1.19285, 1.1929, 1.19285, 1.1928, 1.19275, 1.1927, 1.19265, 1.1927]",-2
12,-7,"[8, 3, 3, 7, 5, 7, 5, 7, 5]","[-1, 0, -1, 0, -1, 1, -1, 1]","[1.1929, 1.19285, 1.1928, 1.19275, 1.1927, 1.19265, 1.1927, 1.19265, 1.1927]",-2
